operating_airline,operating_airline_iata,published_airline,published_airline_iata,geo_summary,geo_region,activity_type,price_category,terminal,boarding_area,passenger_count,Year,month,Quarter,Season,passenger_predict
1,73,1,67,0,8,0,0,2,1,2.417128738,2005,7,3,2,2.415142972
1,73,1,67,0,8,1,0,2,1,2.42299512,2005,7,3,2,2.412767851
1,73,1,67,0,8,2,0,2,1,2.261462305,2005,7,3,2,2.25722091
5,7,5,7,1,2,0,1,2,1,2.439523839,2005,7,3,2,2.438608307
5,7,5,7,1,2,1,1,2,1,2.436835238,2005,7,3,2,2.437418829
7,18,6,18,1,0,0,1,0,6,2.276505378,2005,7,3,2,2.250564952
7,18,6,18,1,0,1,1,0,6,2.263083598,2005,7,3,2,2.253199821
8,8,7,8,1,4,0,1,0,0,2.341507966,2005,7,3,2,2.341417935
8,8,7,8,1,4,1,1,0,0,2.338156541,2005,7,3,2,2.340957511
11,57,10,54,1,1,0,1,0,6,2.253078956,2005,7,3,2,2.255285075
11,57,10,54,1,1,1,1,0,6,2.252319236,2005,7,3,2,2.253410909
13,36,12,34,0,8,0,0,0,0,2.302002167,2005,7,3,2,2.303922647
13,36,12,34,0,8,1,0,0,0,2.301116021,2005,7,3,2,2.301243039
14,11,13,11,0,8,0,1,0,0,2.443125029,2005,7,3,2,2.443781814
14,11,13,11,0,8,1,1,0,0,2.449366977,2005,7,3,2,2.446579392
14,11,13,11,0,8,2,1,0,0,2.220332874,2005,7,3,2,2.212750782
14,11,13,11,1,2,0,1,0,0,2.301028185,2005,7,3,2,2.302956293
14,11,13,11,1,2,1,1,0,0,2.311229213,2005,7,3,2,2.31044981
14,11,13,11,1,5,0,1,0,0,2.287407545,2005,7,3,2,2.291140369
14,11,13,11,1,5,1,1,0,0,2.323860103,2005,7,3,2,2.310006097
14,11,13,11,1,5,2,1,0,0,2.166331444,2005,7,3,2,2.155995864
15,54,14,51,1,0,0,1,0,6,2.281015069,2005,7,3,2,2.280592195
15,54,14,51,1,0,1,1,0,6,2.273694144,2005,7,3,2,2.274553446
18,50,16,5,0,8,0,1,4,4,2.262951129,2005,7,3,2,2.260667225
18,50,16,5,0,8,1,1,4,4,2.257493852,2005,7,3,2,2.255058547
20,59,18,55,1,0,0,1,0,0,2.253978513,2005,7,3,2,2.250507
20,59,18,55,1,0,1,1,0,0,2.247584589,2005,7,3,2,2.243070632
21,30,28,25,0,8,0,1,2,2,2.12201526,2005,7,3,2,2.13120963
